Window_ID,Pre_15s_Gap,BTC_Pre_15s,BTC_Pre_60s,BTC_Velocity_60s,Gap_5s,BTC_5s,Gap_10s,BTC_10s,Gap_15s,BTC_15s,Poly_Spread_15s,UP_Bid_15s,DN_Bid_15s,First_55c_Side,First_55c_Time,First_60c_Side,First_60c_Time,First_65c_Side,First_65c_Time,RSI_1m,V_1m,Drawdown_UP,Drawdown_DN,ATR_5m,BTC_Open,BTC_Close,Winner
1772652000,,,,0.00,,,,,,,,,,,,,,,,45.21,30,0.00,0.00,0.00,0.00,0.00,UP
1772652300,-0.07,0,73583.5,425.30,,,,,0.11000000000000004,73694.9,-0.010000000000000009,0.56,0.45,DOWN,296,DOWN,296,DOWN,296,40.16,20,439.40,-279.00,73.72,74008.80,73600.00,DOWN
1772652600,0.010000000000000009,73595.346984,73569.4,-11.41,,,,,,,,,,DOWN,298,DOWN,298,DOWN,298,40.71,16,0.00,133.61,64.44,73557.99,73561.80,UP
1772652900,-0.010000000000000009,73870.2,73830.2,-259.50,-0.030000000000000027,73580.3,,,-0.10999999999999999,73580.3,-0.00800995024875617,0.4490049751243781,0.5590049751243781,DOWN,15,UP,30,UP,34,61.28,12,0.00,299.50,79.87,73570.70,73862.90,UP
1772653200,-0.010000000000000009,73790.7,73763.3,92.30,,,,,,,,,,UP,296,UP,296,UP,296,49.43,72,152.26,34.50,92.80,73855.60,73776.10,DOWN
1772653500,0.009000190439916178,73656.76440638,73698.9,104.36,-0.04999999999999999,73756.2,-0.010995024875621873,73756.1,0.13000000000000006,73756.1,-0.009999999999999898,0.57,0.44,DOWN,298,DOWN,298,DOWN,298,47.00,99,147.06,0.00,66.40,73803.26,73656.76,DOWN
