Window_ID,Pre_15s_Gap,BTC_Pre_15s,BTC_Pre_60s,BTC_Velocity_60s,Gap_5s,BTC_5s,Gap_10s,BTC_10s,Gap_15s,BTC_15s,Poly_Spread_15s,UP_Bid_15s,DN_Bid_15s,First_55c_Side,First_55c_Time,First_60c_Side,First_60c_Time,First_65c_Side,First_65c_Time,RSI_1m,V_1m,Drawdown_UP,Drawdown_DN,ATR_5m,BTC_Open,BTC_Close,Winner
1772331300,,,67820.0,45.10,,,,,0.54,68048.9,-0.040000000000000036,0.79,0.25,UP,299,UP,299,UP,299,55.15,20,115.10,217.40,130.41,67865.10,67772.90,DOWN
1772331600,,,67683.4,111.80,,,,,,,,,,DOWN,298,DOWN,298,DOWN,298,47.59,12,151.80,0.00,98.97,67795.20,67643.40,DOWN
1772331900,,,67787.7,-144.30,,,0.11000000000000004,67648.0,,,,,,DOWN,299,DOWN,299,DOWN,299,54.65,42,0.00,146.74,77.80,67643.40,67763.50,UP
1772332200,,,67788.2,-24.70,,,-0.010000000000000009,67772.75353,0.09000000000000002,67781.0,-0.010000000000000009,0.55,0.48,UP,299,UP,299,UP,299,58.32,10,84.50,94.50,81.98,67763.50,67858.00,UP
1772332500,,,67870.0233262,-13.42,,,0.050000000000000044,67806.22129854,,,,,,UP,299,UP,299,UP,299,53.17,7,56.40,88.80,70.15,67856.60,67807.52,DOWN
1772332800,,,68066.7,-254.00,-0.18999999999999995,67807.515527,,,-0.09000000000000002,67801.3,-0.010000000000000009,0.46,0.55,DOWN,299,DOWN,299,DOWN,299,67.50,38,32.20,271.99,92.91,67812.70,68080.20,UP
1772333100,,,,0.00,-0.10000000000000003,68077.0,,,,,,,,UP,298,UP,298,UP,298,43.28,127,322.22,101.48,143.98,68071.42,67749.97,DOWN
1772333400,,,67774.9,-24.00,,,,,,,,,,UP,3,UP,62,UP,66,42.75,4,26.30,119.90,59.24,67750.90,67728.70,DOWN
1772333700,,,67677.1,51.60,,,0.16000000000000003,67776.5,,,,,,DOWN,298,DOWN,298,DOWN,298,37.85,20,93.30,47.80,76.59,67728.70,67635.40,DOWN
1772334300,,,67678.5,-43.10,-0.010000000000000009,67697.1,0.11000000000000004,67633.85,0.040000000000000036,67693.9,-0.010000000000000009,0.52,0.49,DOWN,299,DOWN,299,DOWN,299,53.00,6,7.39,142.90,55.54,67635.40,67753.80,UP
1772334600,,,,0.00,,,,,0.030000000000000027,67753.9,-0.010000000000000009,0.52,0.49,UP,298,UP,298,UP,298,49.71,4,58.71,34.93,50.81,67763.81,67730.26,DOWN
1772334900,,,67735.6,4.80,,,,,,,,,,DOWN,0,DOWN,7,DOWN,21,46.30,4,92.10,17.60,45.50,67740.40,67683.04,DOWN
1772335200,,,67418.6,273.20,0.050000000000000044,67683.04,0.030000000000000027,67683.04,,,,,,DOWN,289,DOWN,289,DOWN,289,29.74,8,273.20,10.20,80.54,67691.80,67435.30,DOWN
1772335500,,,67585.730601,-150.43,,,,,,,,,,DOWN,299,DOWN,299,DOWN,299,45.20,6,26.12,156.50,63.87,67435.30,67562.06,UP
1772335800,,,,0.00,,,-0.07,67566.1,,,,,,UP,298,UP,298,UP,298,42.62,9,103.46,4.04,57.20,67562.06,67508.01,DOWN
1772336100,,,67532.242,-24.23,-0.030000000000000027,67508.00890063,,,,,,,,DOWN,299,DOWN,299,DOWN,299,44.89,5,5.21,63.89,44.19,67508.01,67514.78,UP
1772336400,,,67593.3,-78.52,,,,,0.13000000000000006,67531.79,-0.009999999999999898,0.57,0.44,UP,299,UP,299,UP,299,59.14,8,11.50,136.22,48.22,67514.78,67632.91,UP
1772336700,,,67606.5,26.80,-0.13000000000000006,67633.3,,,,,,,,DOWN,1,DOWN,16,DOWN,16,58.91,7,90.85,41.20,66.18,67633.30,67663.17,UP
1772337000,,,67582.5,89.85,,,,,-0.5700000000000001,67608.1,-0.010000000000000009,0.22,0.79,DOWN,0,DOWN,0,DOWN,0,41.41,10,170.25,1.99,68.16,67672.35,67502.10,DOWN
1772337300,,,67495.2,26.19,-0.030000000000000027,67502.2,,,,,,,,UP,8,UP,11,UP,14,41.91,5,83.29,31.91,52.42,67521.39,67508.05,DOWN
1772337600,,,,0.00,,,,,0.41999999999999993,67564.88414413,-0.010000000000000009,0.71,0.3,DOWN,298,DOWN,298,DOWN,298,45.33,3,0.00,90.20,47.53,67509.80,67550.10,UP
1772337900,,,67390.55,159.55,,,,,-0.14999999999999997,67532.1,-0.010000000000000009,0.43,0.58,UP,299,UP,299,UP,299,30.97,7,167.55,0.00,37.26,67550.10,67382.55,DOWN
1772338200,,,67389.4078891,0.79,0.14999999999999997,67390.2,,,0.29000000000000004,67390.3,-0.010000000000000009,0.65,0.36,DOWN,299,DOWN,299,DOWN,299,31.82,23,86.60,36.00,58.10,67390.20,67303.60,DOWN
1772338500,,,67111.64,190.96,,,0.16999999999999998,67332.08,0.38999999999999996,67298.4,-0.040000000000000036,0.73,0.31,UP,7,UP,15,UP,15,33.34,17,208.40,29.48,84.66,67302.60,67177.30,DOWN
1772338800,,,67266.9,-89.60,,,0.16999999999999998,67196.0,,,,,,DOWN,298,DOWN,298,DOWN,298,39.43,12,17.47,115.40,51.13,67177.30,67247.80,UP
1772339100,,,67309.83,-65.83,-0.12000000000000005,67225.8,,,,,,,,UP,298,UP,298,UP,298,50.41,9,60.00,92.10,40.39,67244.00,67333.10,UP
1772339400,,,67289.1,40.05,-0.030000000000000027,67333.1,,,-0.09000000000000002,67320.83271268,-0.010000000000000009,0.46,0.55,UP,299,UP,299,UP,299,49.84,7,65.42,13.85,43.03,67329.15,67343.00,DOWN
1772339700,,,67386.05537243,-43.06,-0.07,67328.6,,,0.18999999999999995,67313.44,-0.010000000000000009,0.6,0.41,DOWN,5,UP,15,UP,38,45.69,6,34.50,57.80,50.66,67343.00,67335.90,DOWN
1772340000,,,67431.8,-140.40,-0.07,67379.63,,,,,,,,DOWN,299,DOWN,299,DOWN,299,55.51,2,0.10,140.70,53.54,67291.40,67398.16,UP
1772340300,,,,0.00,,,-0.050000000000000044,67411.4,,,,,,UP,299,UP,299,UP,299,48.98,9,26.76,13.24,17.67,67398.16,67378.74,DOWN
1772340600,,,67355.6,15.80,,,,,-0.25,67334.0,-0.010000000000000009,0.38,0.63,DOWN,298,DOWN,298,DOWN,298,45.83,2,44.23,13.10,42.26,67371.40,67379.50,DOWN
1772340900,,,67309.9,37.60,,,,,,,,,,DOWN,51,DOWN,51,DOWN,52,49.95,4,43.70,32.00,31.94,67347.50,67358.67,UP
1772341200,,,,0.00,,,0.16999999999999998,67347.6,,,,,,UP,1,UP,1,UP,27,46.67,4,0.00,93.10,52.25,67347.60,67366.30,UP
1772341500,,,67245.5,101.90,,,,,-0.39999999999999997,67306.8,-0.020000000000000018,0.31,0.7,DOWN,299,DOWN,299,DOWN,299,52.85,11,138.30,75.92,60.55,67347.40,67322.40,UP
1772341800,,,67377.2,-34.80,0.31,67382.4,,,0.16999999999999998,67382.3,-0.010000000000000009,0.59,0.42,UP,299,UP,299,UP,299,47.02,3,26.63,97.70,41.90,67342.40,67329.20,DOWN
1772342100,,,67405.3,-76.10,0.050000000000000044,67329.2,0.18999999999999995,67329.1,,,,,,UP,0,UP,10,UP,20,55.97,6,0.10,88.03,33.95,67329.20,67413.57,UP
1772342400,,,67507.6,-94.03,,,,,,,,,,UP,299,UP,299,UP,299,61.32,15,3.87,140.53,55.82,67413.57,67505.74,UP
1772342700,,,,0.00,,,,,,,,,,UP,297,UP,297,UP,297,53.30,5,37.94,20.30,14.30,67489.20,67451.26,DOWN
1772343000,,,67502.5,-41.92,,,,,0.44999999999999996,67475.8,-0.010000000000000009,0.73,0.28,DOWN,299,DOWN,299,DOWN,299,61.74,7,2.88,70.98,27.73,67460.58,67526.70,UP
1772343300,,,67502.5,19.41,,,,,,,,,,UP,298,UP,298,UP,298,58.15,4,42.36,36.29,27.66,67521.91,67517.81,DOWN
1772343600,,,67449.2,68.30,,,,,,,,,,DOWN,298,DOWN,298,DOWN,298,37.10,11,134.76,0.31,36.81,67517.50,67382.74,DOWN
1772343900,,,67386.9012878,2.30,0.22999999999999998,67385.09185162,,,,,,,,DOWN,299,DOWN,299,DOWN,299,48.96,6,29.78,36.71,39.85,67389.20,67422.50,UP
1772344200,,,67345.47,80.44,-0.11000000000000004,67425.90980373,,,,,,,,UP,298,UP,298,UP,298,30.78,4,123.21,4.42,39.99,67425.91,67302.70,DOWN
1772344500,,,67320.88,-18.18,0.010000000000000009,67292.2,,,0.3,67300.6,-0.010000000000000009,0.65,0.36,UP,0,UP,9,UP,15,34.74,1,13.00,19.80,19.50,67302.70,67302.70,UP
1772344800,,,67333.53103028,-30.83,,,,,0.35000000000000003,67326.2,-0.010000000000000009,0.68,0.33,UP,299,UP,299,UP,299,36.44,1,67.40,46.51,44.50,67302.70,67252.34,DOWN
1772345100,,,,0.00,0.050000000000000044,67252.33586342,,,,,,,,DOWN,18,DOWN,18,DOWN,23,26.77,69,152.47,16.76,75.24,67252.34,67109.90,DOWN
1772345400,,,67064.75375423,45.15,0.07,67114.97088508,,,,,,,,DOWN,299,DOWN,299,DOWN,299,37.30,9,184.90,5.07,103.04,67109.90,67090.09,DOWN
1772345700,,,67036.8,58.70,,,,,,,,,,DOWN,299,DOWN,299,DOWN,299,32.23,11,110.80,48.50,65.38,67095.50,66984.70,DOWN
1772346000,,,67050.0,-66.40,,,,,0.15999999999999998,66965.6,-0.020000000000000018,0.59,0.43,UP,0,UP,22,UP,27,45.23,8,19.60,135.87,45.75,66983.60,67119.47,UP
1772346300,,,67149.059259,-29.59,0.13000000000000006,67087.7,,,0.25,67088.11,-0.010000000000000009,0.63,0.38,UP,299,UP,299,UP,299,42.51,15,64.07,34.99,41.87,67119.47,67055.40,DOWN
1772346600,,,66910.2,140.00,0.18999999999999995,67050.2,,,,,,,,DOWN,298,DOWN,298,DOWN,298,30.98,16,161.00,34.90,65.38,67050.20,66889.20,DOWN
1772346900,,,66875.0,30.84,,,,,,,,,,DOWN,298,DOWN,298,DOWN,298,34.00,11,53.24,41.16,63.47,66905.84,66900.10,DOWN
1772347200,,,,0.00,,,,,,,,,,UP,298,UP,298,UP,298,45.05,8,69.51,52.23,77.25,66890.21,66921.40,UP
1772347500,,,66828.203203,93.20,,,,,-0.20999999999999996,66941.28,-0.010000000000000009,0.4,0.61,UP,299,UP,299,UP,299,36.06,23,114.40,19.88,45.82,66921.40,66807.00,DOWN
1772347800,,,66920.6,-110.60,0.16999999999999998,66826.8,,,,,,,,DOWN,298,DOWN,298,DOWN,298,50.04,5,0.00,130.00,41.95,66810.00,66940.00,UP
