Window_ID,Pre_15s_Gap,BTC_Pre_15s,BTC_Pre_60s,BTC_Velocity_60s,Gap_5s,BTC_5s,Gap_10s,BTC_10s,Gap_15s,BTC_15s,Poly_Spread_15s,UP_Bid_15s,DN_Bid_15s,First_55c_Side,First_55c_Time,First_60c_Side,First_60c_Time,First_65c_Side,First_65c_Time,RSI_1m,V_1m,Drawdown_UP,Drawdown_DN,ATR_5m,BTC_Open,BTC_Close,Winner
1773886800,,,71185.7,-28.50,,,,,,,,,,UP,118,UP,118,UP,118,52.06,2,-7.86,56.20,45.28,71157.20,71190.10,UP
1773887100,,,71216.23,-43.53,,,,,,,,,,DOWN,7,DOWN,7,DOWN,7,59.16,3,10.13,59.70,31.17,71172.70,71232.40,UP
1773887400,,,71228.2,20.30,,,,,,,,,,DOWN,14,DOWN,24,DOWN,98,57.60,2,82.35,0.00,34.36,71248.50,71240.90,DOWN
1773887700,,,71225.3,15.70,,,,,,,,,,DOWN,12,DOWN,55,DOWN,88,52.15,4,37.74,5.55,19.55,71241.00,71225.40,DOWN
1773888000,,,71222.64,2.76,,,0.010000000000000009,71225.4,,,,,,UP,22,UP,67,UP,147,48.94,28,18.17,15.60,12.77,71225.40,71214.70,DOWN
1773888300,,,71141.2,77.30,,,,,0.050000000000000044,71218.5,-0.010000000000000009,0.53,0.48,UP,26,UP,26,DOWN,78,33.84,4,111.23,0.00,31.74,71218.50,71107.27,DOWN
