Window_ID,Pre_15s_Gap,BTC_Pre_15s,BTC_Pre_60s,BTC_Velocity_60s,Gap_5s,BTC_5s,Gap_10s,BTC_10s,Gap_15s,BTC_15s,Poly_Spread_15s,UP_Bid_15s,DN_Bid_15s,First_55c_Side,First_55c_Time,First_60c_Side,First_60c_Time,First_65c_Side,First_65c_Time,RSI_1m,V_1m,Drawdown_UP,Drawdown_DN,ATR_5m,BTC_Open,BTC_Close,Winner
1772737200,-0.029000190439916196,71150.3,71120.65051661,-131.25,,,,,,,,,,UP,31,UP,31,UP,43,64.86,12,-5.80,226.60,87.80,70989.40,71151.08,UP
1772737500,-0.06,71244.0,71264.1,-113.80,,,,,,,,,,UP,296,UP,296,UP,296,69.56,23,0.20,128.80,56.44,71150.30,71244.00,UP
1772737800,-0.030000000000000027,71380.71,71316.152,-61.75,,,-0.10999999999999999,71276.1,,,,,,UP,294,UP,294,UP,294,74.51,24,44.80,157.70,72.67,71254.40,71382.80,UP
1772738100,-0.010000000000000009,71290.0,71325.0,55.71,,,,,,,,,,DOWN,7,DOWN,7,DOWN,17,64.63,10,152.11,0.00,65.22,71380.71,71290.00,DOWN
1772738400,0.010001805568067845,71269.7,,0.00,,,,,,,,,,DOWN,296,DOWN,296,DOWN,296,52.07,5,57.24,90.60,57.62,71322.90,71269.70,DOWN
1772738700,0.039000190439916205,71351.724403,71122.88,123.42,,,0.020000000000000018,71246.3,,,,,,DOWN,299,DOWN,299,DOWN,299,42.17,5,169.90,105.42,83.69,71246.30,71351.72,DOWN
