2026-03-01 14:32:51,99.28,94.74,98.61,02:10,66431.52,66848.50,-416.98,448.50,-41.0,S-UP,S-DOWN,38.2,32.29,OFF,OFF,SKIP|Price 6639749.0c > Max 80.0c,1,BUY_UP,1,0.295,0.705,0.300,0.710,0.00,1.75
2026-03-01 14:33:06,99.28,94.74,98.61,01:54,66401.70,66848.50,-446.80,450.41,-20.0,S-UP,S-DOWN,39.9,25.93,OFF,OFF,SKIP|Price 6640588.0c > Max 80.0c,1,BUY_UP,1,0.400,0.600,0.410,0.610,0.00,1.75
2026-03-01 14:33:21,99.28,94.74,98.61,01:39,66405.40,66848.50,-443.10,450.41,-17.0,S-UP,S-DOWN,39.2,25.93,OFF,OFF,SKIP|Price 6640253.0c > Max 80.0c,1,BUY_UP,1,0.415,0.585,0.420,0.590,0.00,1.75
2026-03-01 14:33:37,99.28,94.74,98.61,01:23,66405.48,66848.50,-443.02,450.41,-63.0,S-UP,S-DOWN,37.4,27.26,OFF,OFF,SKIP|Price 6639084.0c > Max 80.0c,1,BUY_UP,1,0.185,0.815,0.190,0.820,0.00,1.75
2026-03-01 14:33:53,99.28,94.74,98.61,01:07,66405.48,66848.50,-443.02,454.40,-77.0,S-UP,S-DOWN,36.0,29.62,OFF,OFF,SKIP|Price 6637903.0c > Max 80.0c,1,BUY_UP,1,0.115,0.885,0.120,0.890,0.00,1.75
TRADE_EVENT,2026-03-01 14:33:59,SELL,DOWN,1.68,0.96000,0.96000,0.00000,1.75,0.00,N/A,0.00,100.97,TP HIT | Ent: 57.0¢ -> 95.5¢ (+67.5%)
2026-03-01 14:34:08,100.97,94.74,100.00,00:52,66344.00,66848.50,-504.50,504.50,-97.0,S-UP,S-DOWN,30.2,40.23,OFF,OFF,SKIP|Price 6632000.0c > Max 80.0c,1,BUY_UP,1,0.015,0.985,0.020,0.990,0.00,0.00
2026-03-01 14:34:23,100.97,94.74,100.00,00:37,66296.10,66848.50,-552.40,552.40,-99.0,S-UP,S-DOWN,27.4,48.12,OFF,OFF,SKIP|Price 6628515.0c > Max 80.0c,1,BUY_UP,1,0.010,0.995,0.010,1.000,0.00,0.00
2026-03-01 14:34:38,100.97,94.74,100.00,00:22,66290.13,66848.50,-558.37,558.37,-99.0,S-UP,S-DOWN,28.6,48.12,OFF,OFF,SKIP|Price 6630081.0c > Max 80.0c,1,BUY_UP,1,0.010,0.995,0.010,1.000,0.00,0.00
2026-03-01 14:34:54,100.97,94.74,100.00,00:06,66290.13,66848.50,-558.37,558.37,-99.1,S-UP,S-DOWN,28.4,48.12,OFF,OFF,SKIP|Price 6629845.0c > Max 80.0c,1,BUY_UP,1,0.009,0.995,0.009,1.000,0.00,0.00
TRADE_EVENT,2026-03-01 14:34:59,SETTLE,DOWN,0.00,1.00000,1.00000,0.00000,0.00,0.00,N/A,0.00,100.97,Win: DOWN | PnL: 0.30
2026-03-01 14:35:09,100.97,94.74,100.00,04:51,66298.42,66298.42,0.00,0.00,29.0,S-UP,S-DOWN,30.8,40.59,OFF,OFF,OFF,0,NEUTRAL,0,0.645,0.355,0.650,0.360,0.00,0.00
TRADE_EVENT,2026-03-01 14:35:13,BUY,UP,1.00,0.62000,0.62000,0.00000,1.61,30.87,S-UP,0.00,99.97,BET_UP_MOM|Price Threshold HIT: UP 63.0¢
2026-03-01 14:35:25,99.97,94.74,99.00,04:35,66298.42,66298.42,0.00,1.22,39.0,S-UP,S-DOWN,33.0,43.04,OFF,OFF,SKIP|Price 6632000.0c > Max 80.0c,1,BUY_UP,1,0.695,0.305,0.700,0.310,1.61,0.00
2026-03-01 14:35:40,99.97,94.74,99.00,04:20,66327.95,66298.42,29.54,30.75,29.0,S-UP,S-DOWN,32.2,45.13,OFF,OFF,SKIP|Price 6631562.0c > Max 80.0c,1,BUY_UP,1,0.645,0.355,0.650,0.360,1.61,0.00
2026-03-01 14:35:56,99.97,94.74,99.00,04:04,66323.40,66298.42,24.98,30.75,31.0,S-UP,S-DOWN,32.2,45.13,OFF,OFF,SKIP|Price 6631562.0c > Max 80.0c,1,BUY_UP,1,0.655,0.345,0.660,0.350,1.61,0.00
2026-03-01 14:36:12,99.97,94.74,99.00,03:48,66324.90,66298.42,26.48,30.75,37.0,S-UP,S-DOWN,34.7,42.82,OFF,OFF,SKIP|Price 6632853.0c > Max 80.0c,1,BUY_UP,1,0.685,0.315,0.690,0.320,1.61,0.00
2026-03-01 14:36:28,99.97,94.74,99.00,03:32,66324.22,66298.42,25.81,50.10,45.0,S-UP,S-DOWN,35.4,47.78,OFF,OFF,SKIP|Price 6633228.0c > Max 80.0c,1,BUY_UP,1,0.735,0.275,0.740,0.290,1.61,0.00
2026-03-01 14:36:44,99.97,94.74,99.00,03:16,66324.80,66298.42,26.38,50.10,31.0,S-UP,S-DOWN,32.9,47.78,OFF,OFF,SKIP|Price 6631910.0c > Max 80.0c,1,BUY_UP,1,0.655,0.345,0.660,0.350,1.61,0.00
