Window_ID,Pre_15s_Gap,BTC_Pre_15s,BTC_Pre_60s,BTC_Velocity_60s,Gap_5s,BTC_5s,Gap_10s,BTC_10s,Gap_15s,BTC_15s,Poly_Spread_15s,UP_Bid_15s,DN_Bid_15s,First_55c_Side,First_55c_Time,First_60c_Side,First_60c_Time,First_65c_Side,First_65c_Time,RSI_1m,V_1m,Drawdown_UP,Drawdown_DN,ATR_5m,BTC_Open,BTC_Close,Winner
1773377400,,,,0.00,,,,,,,,,,DOWN,264,DOWN,264,DOWN,264,42.18,2,58.38,-37.10,19.21,71367.20,71308.82,DOWN
1773377700,,,71343.5,-13.50,,,,,,,,,,UP,14,UP,19,UP,48,57.81,128,21.17,77.30,35.35,71330.00,71390.83,UP
1773378000,,,71372.08,22.82,,,,,-0.09099980003999203,71401.2,-0.009000199960008004,0.459000199960008,0.55,DOWN,15,DOWN,21,DOWN,25,42.92,5,73.80,6.30,56.44,71394.90,71330.50,DOWN
1773378300,,,71420.1,-111.08,,,,,,,,,,DOWN,3,DOWN,14,DOWN,35,54.57,2,37.19,111.08,50.12,71309.02,71383.00,UP
