Timestamp,Mode,SimBal,LiveBal,RiskBankroll,TimeRem,BTC_Price,BTC_Open,BTC_Diff,BTC_Range,Odds_Score,Trend_Prob,Trend_Score,Sig_Slingshot,Sig_Poly,Sig_Cobra,Sig_Flag,Sig_TrendOdds,Master_Score,Master_Status,UP_Price,DN_Price,UP_Bid,DN_Bid,Shares_UP,Shares_DN,Note
2026-03-01 00:39:45,SIM,100.00,94.74,100.00,00:15,0.00,0.00,0.00,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.500,0.500,0.500,0.500,0.00,0.00,-
TRADE_EVENT,2026-03-01 00:39:53,BUY,DOWN,12.00,0.54000,0.54000,0.00000,22.22,0.00,N/A,0.00,88.00,PreBuy_Follow Lead (9.0¢ gap)
TRADE_EVENT,2026-03-01 00:39:59,SETTLE,UP,0.00,1.00000,1.00000,0.00000,0.00,0.00,N/A,0.00,88.00,Win: UP | PnL: -12.00
2026-03-01 00:40:02,SIM,88.00,94.74,88.00,00:01,67544.40,67269.70,274.70,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.995,0.009,1.000,0.009,0.00,0.00,-
2026-03-01 00:40:17,SIM,88.00,94.74,88.00,04:43,67433.20,67531.80,-98.60,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.300,0.705,0.310,0.710,0.00,0.00,-
2026-03-01 00:40:32,SIM,88.00,94.74,88.00,04:28,67432.20,67531.80,-99.60,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.295,0.705,0.300,0.710,0.00,0.00,-
2026-03-01 00:40:48,SIM,88.00,94.74,88.00,04:12,67355.10,67531.80,-176.70,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.235,0.765,0.240,0.770,0.00,0.00,-
2026-03-01 00:41:03,SIM,88.00,94.74,88.00,03:57,67322.40,67531.80,-209.40,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.165,0.835,0.170,0.840,0.00,0.00,-
2026-03-01 00:41:18,SIM,88.00,94.74,88.00,03:42,67312.80,67531.80,-219.00,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.160,0.845,0.170,0.860,0.00,0.00,-
2026-03-01 00:41:34,SIM,88.00,94.74,88.00,03:26,67279.20,67531.80,-252.60,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.075,0.925,0.080,0.930,0.00,0.00,-
2026-03-01 00:41:49,SIM,88.00,94.74,88.00,03:11,67210.10,67531.80,-321.70,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.065,0.935,0.070,0.940,0.00,0.00,-
2026-03-01 00:42:05,SIM,88.00,94.74,88.00,02:55,67236.90,67531.80,-294.90,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.095,0.905,0.100,0.910,0.00,0.00,-
2026-03-01 00:42:21,SIM,88.00,94.74,88.00,02:39,67345.00,67531.80,-186.80,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.115,0.885,0.120,0.890,0.00,0.00,-
2026-03-01 00:42:37,SIM,88.00,94.74,88.00,02:23,67333.20,67531.80,-198.60,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.085,0.915,0.090,0.920,0.00,0.00,-
2026-03-01 00:42:52,SIM,88.00,94.74,88.00,02:08,67337.90,67531.80,-193.90,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.095,0.905,0.100,0.910,0.00,0.00,-
2026-03-01 00:43:08,SIM,88.00,94.74,88.00,01:52,67334.37,67531.80,-197.43,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.065,0.935,0.070,0.940,0.00,0.00,-
2026-03-01 00:43:24,SIM,88.00,94.74,88.00,01:36,67319.50,67531.80,-212.30,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.065,0.935,0.070,0.940,0.00,0.00,-
2026-03-01 00:43:39,SIM,88.00,94.74,88.00,01:21,67344.90,67531.80,-186.90,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.115,0.885,0.120,0.890,0.00,0.00,-
2026-03-01 00:43:55,SIM,88.00,94.74,88.00,01:05,67388.90,67531.80,-142.90,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.085,0.915,0.090,0.920,0.00,0.00,-
2026-03-01 00:44:11,SIM,88.00,94.74,88.00,00:49,67397.80,67531.80,-134.00,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.065,0.935,0.070,0.940,0.00,0.00,-
2026-03-01 00:44:27,SIM,88.00,94.74,88.00,00:33,67397.80,67531.80,-134.00,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.025,0.975,0.030,0.980,0.00,0.00,-
2026-03-01 00:44:42,SIM,88.00,94.74,88.00,00:18,67352.40,67531.80,-179.40,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.010,0.995,0.010,1.000,0.00,0.00,-
TRADE_EVENT,2026-03-01 00:44:51,BUY,UP,12.00,0.50000,0.50000,0.00000,24.00,0.00,N/A,0.00,76.00,PreBuy_Reversal (gap:1.0¢ | Winner:DOWN)
2026-03-01 00:44:58,SIM,76.00,94.74,76.00,00:02,67337.90,67531.80,-193.90,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.010,0.995,0.010,1.000,24.00,0.00,-
TRADE_EVENT,2026-03-01 00:44:59,SETTLE,DOWN,0.00,1.00000,1.00000,0.00000,0.00,0.00,N/A,0.00,76.00,Win: DOWN | PnL: -12.00
2026-03-01 00:45:13,SIM,76.00,94.74,76.00,04:47,67352.30,67352.40,-0.10,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.420,0.585,0.430,0.590,0.00,0.00,-
2026-03-01 00:45:28,SIM,76.00,94.74,76.00,04:32,67323.70,67352.40,-28.70,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.440,0.560,0.440,0.560,0.00,0.00,-
2026-03-01 00:45:44,SIM,76.00,94.74,76.00,04:16,67318.13,67352.40,-34.27,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.445,0.555,0.450,0.560,0.00,0.00,-
2026-03-01 00:45:59,SIM,76.00,94.74,76.00,04:01,67345.50,67352.40,-6.90,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.530,0.470,0.550,0.490,0.00,0.00,-
TRADE_EVENT,2026-03-01 00:46:04,BUY,UP,5.50,0.66000,0.66000,0.00000,8.33,57.69,S-UP,0.00,70.50,BET_UP_WICK|Liar's Wick Detected
2026-03-01 00:46:14,SIM,70.50,94.74,70.50,03:46,67365.60,67352.40,13.20,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.705,0.295,0.710,0.300,8.33,0.00,-
2026-03-01 00:46:29,SIM,70.50,94.74,70.50,03:32,67445.50,67352.40,93.10,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.790,0.205,0.800,0.210,8.33,0.00,-
2026-03-01 00:46:45,SIM,70.50,94.74,70.50,03:15,67401.13,67352.40,48.73,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.835,0.165,0.840,0.170,8.33,0.00,-
2026-03-01 00:47:00,SIM,70.50,94.74,70.50,03:00,67439.70,67352.40,87.30,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.835,0.165,0.840,0.170,8.33,0.00,-
2026-03-01 00:47:15,SIM,70.50,94.74,70.50,02:45,67499.10,67352.40,146.70,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.940,0.060,0.950,0.070,8.33,0.00,-
2026-03-01 00:47:31,SIM,70.50,94.74,70.50,02:29,67537.00,67352.40,184.60,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.955,0.045,0.960,0.050,8.33,0.00,-
2026-03-01 00:47:47,SIM,70.50,94.74,70.50,02:13,67545.40,67352.40,193.00,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.955,0.045,0.960,0.050,8.33,0.00,-
2026-03-01 00:48:02,SIM,70.50,94.74,70.50,01:58,67592.00,67352.40,239.60,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.955,0.045,0.960,0.050,8.33,0.00,-
2026-03-01 00:48:17,SIM,70.50,94.74,70.50,01:43,67602.30,67352.40,249.90,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.975,0.025,0.980,0.030,8.33,0.00,-
