Timestamp,TimeRemaining,BTC_Price,BTC_Open,Diff,Range,Odds,Trend_4h,Trend_1h,RSI_1m,ATR_5m,Hurst,V-UP,V-DN,Sling,Cobra,Coiled,Flag,M_Score,M_Status,Scanners,Up_Ask,Dn_Ask,Up_Bid,Dn_Bid,Shares_UP,Shares_DN,Sim_Bal,Live_Bal,Risk_Bal
2026-04-01 20:47:18,00:00,0.00,0.00,0.00,0.00,0,NEUTRAL,NEUTRAL,50.0,0.00,0.500,0,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.500,0.500,0.500,0.500,0.00,0.00,100.00,0.00,100.00
2026-04-01 20:47:30,150s,68336.10,68405.60,-69.50,69.50,-72.0,NEUTRAL,W-UP,30.9,40.86,0.500,0,53,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.125,0.880,0.150,0.870,0.00,0.00,100.00,0.00,100.00
2026-04-01 20:47:34,00:00,68336.10,68405.60,-69.50,69.50,-72.0,NEUTRAL,W-UP,30.9,40.86,0.500,0,53,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.125,0.880,0.150,0.870,0.00,0.00,100.00,93.04,100.00
2026-04-01 20:47:37,143s,68336.00,68405.60,-69.60,69.60,-66.0,NEUTRAL,W-UP,32.0,41.53,0.500,0,42,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.160,0.830,0.170,0.830,0.00,0.00,100.00,0.00,100.00
2026-04-01 20:47:46,134s,68350.20,68405.60,-55.40,69.60,-47.0,NEUTRAL,W-UP,33.2,42.04,0.500,0,24,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.225,0.730,0.260,0.730,0.00,0.00,100.00,0.00,100.00
2026-04-01 20:47:50,00:00,68350.20,68405.60,-55.40,69.60,-47.0,NEUTRAL,W-UP,33.2,42.04,0.500,0,24,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.225,0.730,0.260,0.730,0.00,0.00,100.00,93.04,100.00
2026-04-01 20:47:57,123s,68377.37,68405.60,-28.23,69.60,-58.0,NEUTRAL,W-UP,35.0,44.35,0.500,0,34,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.220,0.790,0.220,0.800,0.00,0.00,100.00,0.00,100.00
2026-04-01 20:48:05,115s,68343.85,68405.60,-61.75,69.60,-63.0,NEUTRAL,W-UP,33.0,44.35,0.500,0,17,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.180,0.815,0.190,0.820,0.00,0.00,100.00,0.00,100.00
2026-04-01 20:48:05,00:00,68343.85,68405.60,-61.75,69.60,-63.0,NEUTRAL,W-UP,33.0,44.35,0.500,0,17,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.180,0.815,0.190,0.820,0.00,0.00,100.00,93.04,100.00
2026-04-01 20:48:13,107s,68357.60,68405.60,-48.00,69.60,-42.0,NEUTRAL,W-UP,35.8,40.45,0.500,0,2,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.260,0.715,0.270,0.690,0.00,0.00,100.00,0.00,100.00
