Window_ID,Pre_15s_Gap,BTC_Pre_15s,BTC_Pre_60s,BTC_Velocity_60s,Gap_5s,BTC_5s,Gap_10s,BTC_10s,Gap_15s,BTC_15s,Poly_Spread_15s,UP_Bid_15s,DN_Bid_15s,First_55c_Side,First_55c_Time,First_60c_Side,First_60c_Time,First_65c_Side,First_65c_Time,RSI_1m,V_1m,Drawdown_UP,Drawdown_DN,ATR_5m,BTC_Open,BTC_Close,Winner
1773499200,,,70700.0,47.30,,,,,,,,,,DOWN,151,DOWN,151,DOWN,151,25.91,3,144.22,-38.30,37.23,70747.30,70603.08,DOWN
1773499500,,,70641.85,-30.95,,,0.14999999999999997,70610.9,,,,,,UP,0,UP,0,UP,44,38.46,2,0.10,53.90,18.88,70610.90,70664.80,UP
1773499800,,,70661.39,3.21,,,,,-0.030000000000000027,70664.5,-0.010000000000000009,0.49,0.52,DOWN,37,UP,76,UP,83,40.93,2,20.72,6.60,14.63,70664.60,70658.09,DOWN
