timestamp,elapsed,btc_price,open_price,up_price,down_price,side,price,action,cost,context_4h,context_atr,context_wall,context_news
2026-02-11 10:30:03,3,66840.17,66840.17,0.510,0.480,DOWN,0.480,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:30:08,8,66799.54,66840.17,0.460,0.530,DOWN,0.530,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:30:14,14,66783.54,66840.17,0.440,0.550,DOWN,0.550,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:30:19,19,66773.16,66840.17,0.400,0.590,DOWN,0.590,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:30:25,25,66762.42,66840.17,0.370,0.620,DOWN,0.620,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:30:30,30,66770.00,66840.17,0.340,0.650,DOWN,0.650,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:30:36,36,66776.50,66840.17,0.390,0.600,DOWN,0.600,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:30:41,41,66765.99,66840.17,0.380,0.610,DOWN,0.610,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:30:47,47,66747.20,66840.17,0.360,0.630,DOWN,0.630,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:30:52,52,66739.38,66840.17,0.350,0.640,DOWN,0.640,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:30:58,58,66742.05,66840.17,0.330,0.650,DOWN,0.650,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:31:03,63,66742.00,66840.17,0.340,0.640,DOWN,0.640,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:31:09,69,66752.64,66840.17,0.360,0.630,DOWN,0.630,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:31:14,74,66751.28,66840.17,0.360,0.630,DOWN,0.630,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:31:20,80,66751.54,66840.17,0.360,0.630,DOWN,0.630,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:31:25,85,66737.30,66840.17,0.370,0.610,DOWN,0.610,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:31:31,91,66747.81,66840.17,0.340,0.650,DOWN,0.650,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:31:36,96,66740.01,66840.17,0.340,0.650,DOWN,0.650,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:31:42,102,66733.18,66840.17,0.340,0.650,DOWN,0.650,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:31:47,107,66714.01,66840.17,0.310,0.680,DOWN,0.680,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:31:53,113,66710.78,66840.17,0.290,0.700,DOWN,0.700,MONITOR,0.00,DOWN,1.03,1.00,False
