Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2025-12-01 00:00:00,90360.01000000,90417.00000000,90268.77000000,90305.55000000,101.74361000,1764547379999,9189464.48266010,15781,20.93566000,1891098.23731040,0
2025-12-01 00:03:00,90305.55000000,90305.55000000,89510.00000000,89596.94000000,637.28255000,1764547559999,57252991.31152370,60368,214.66451000,19269978.24202110,0
2025-12-01 00:06:00,89596.94000000,89640.00000000,88965.00000000,89112.00000000,383.15718000,1764547739999,34220172.51948110,60003,149.99435000,13396781.13550050,0
2025-12-01 00:09:00,89112.00000000,89308.59000000,88901.00000000,89240.01000000,231.24762000,1764547919999,20603349.53621330,48110,129.79305000,11566122.68329410,0
2025-12-01 00:12:00,89240.01000000,89276.00000000,88874.72000000,88920.00000000,151.29666000,1764548099999,13467766.73857730,41075,68.29836000,6079597.85844890,0
2025-12-01 00:15:00,88920.00000000,89097.61000000,88712.40000000,88798.29000000,194.36615000,1764548279999,17276007.53122460,38206,77.69340000,6908885.02344790,0
2025-12-01 00:18:00,88798.28000000,88908.00000000,88626.04000000,88712.01000000,164.39424000,1764548459999,14586914.87851960,39307,79.21107000,7028921.84622460,0
2025-12-01 00:21:00,88712.00000000,88712.01000000,88432.77000000,88432.77000000,263.27796000,1764548639999,23312681.32561660,38571,86.50515000,7659689.17905530,0
2025-12-01 00:24:00,88432.77000000,88679.81000000,88409.78000000,88481.13000000,124.20410000,1764548819999,10995696.15966240,28466,60.88140000,5389809.36048000,0
2025-12-01 00:27:00,88481.12000000,88481.12000000,88350.36000000,88375.56000000,150.48531000,1764548999999,13302688.30952420,21382,57.22524000,5058304.83058940,0
2025-12-01 00:30:00,88375.55000000,88440.00000000,88044.17000000,88083.84000000,261.07240000,1764549179999,23020654.86131550,42738,89.98467000,7934492.40386080,0
2025-12-01 00:33:00,88083.49000000,88083.50000000,87637.71000000,87803.55000000,358.97483000,1764549359999,31550702.60450480,52389,136.02719000,11954244.42781610,0
2025-12-01 00:36:00,87803.55000000,88083.87000000,87703.40000000,87714.29000000,241.66972000,1764549539999,21251242.61561830,37986,163.48859000,14378084.05351750,0
2025-12-01 00:39:00,87714.28000000,88171.10000000,87687.07000000,88143.62000000,113.26034000,1764549719999,9954979.85383780,29870,61.90793000,5441134.78244710,0
2025-12-01 00:42:00,88143.63000000,88194.00000000,87698.01000000,87735.34000000,193.02168000,1764549899999,16964572.17197680,23737,109.80717000,9653238.35303400,0
2025-12-01 00:45:00,87737.65000000,87775.51000000,87440.00000000,87569.00000000,232.18722000,1764550079999,20334119.59274710,30596,56.30957000,4932212.36600670,0
2025-12-01 00:48:00,87568.99000000,87596.60000000,87417.00000000,87458.00000000,190.10711000,1764550259999,16628653.69695200,27762,65.73129000,5749713.15965610,0
2025-12-01 00:51:00,87457.99000000,87499.98000000,87183.33000000,87216.23000000,213.11424000,1764550439999,18606253.21687600,36581,85.15007000,7435487.66993620,0
2025-12-01 00:54:00,87216.23000000,87216.23000000,86959.99000000,87061.55000000,245.44407000,1764550619999,21369803.41582980,36363,78.19655000,6809112.61069090,0
2025-12-01 00:57:00,87061.55000000,87300.00000000,86999.99000000,87000.00000000,157.14827000,1764550799999,13691437.97603060,32778,90.15086000,7854241.21005800,0
2025-12-01 01:00:00,87000.00000000,87443.90000000,86941.40000000,87420.00000000,220.40667000,1764550979999,19216067.24864680,40409,145.26538000,12666146.25844910,0
2025-12-01 01:03:00,87420.01000000,87580.00000000,87358.40000000,87407.01000000,162.16166000,1764551159999,14181660.29037490,25460,104.27009000,9119418.10529150,0
2025-12-01 01:06:00,87407.01000000,87644.52000000,87275.57000000,87644.51000000,166.01714000,1764551339999,14517385.96403960,27949,106.97592000,9357025.95687410,0
2025-12-01 01:09:00,87644.52000000,87697.95000000,87200.67000000,87357.73000000,81.37402000,1764551519999,7112490.21880110,22507,45.25865000,3956506.52007790,0
2025-12-01 01:12:00,87357.73000000,87562.48000000,87316.14000000,87411.81000000,72.42863000,1764551699999,6333138.10348590,16663,43.93115000,3841262.42686620,0
2025-12-01 01:15:00,87411.81000000,87728.37000000,87400.00000000,87650.04000000,109.66745000,1764551879999,9607725.28505220,21223,68.15259000,5971953.78233540,0
2025-12-01 01:18:00,87650.03000000,87749.99000000,87382.97000000,87425.86000000,94.86601000,1764552059999,8308795.19400930,18880,32.08118000,2810187.86117860,0
2025-12-01 01:21:00,87425.86000000,87562.23000000,87393.89000000,87491.17000000,48.77504000,1764552239999,4267977.50315010,17595,34.87388000,3051644.85942450,0
2025-12-01 01:24:00,87491.17000000,87527.97000000,87240.66000000,87350.00000000,106.83391000,1764552419999,9329648.55481390,22407,28.34885000,2475824.22854710,0
2025-12-01 01:27:00,87349.99000000,87414.60000000,87268.11000000,87268.11000000,59.85360000,1764552599999,5227765.55381470,13319,22.96696000,2006256.00254630,0
2025-12-01 01:30:00,87268.10000000,87387.79000000,87178.00000000,87344.39000000,71.53295000,1764552779999,6243149.64054440,20640,37.31847000,3257187.81105940,0
2025-12-01 01:33:00,87344.39000000,87471.40000000,87336.52000000,87471.39000000,49.22392000,1764552959999,4302240.69121810,16727,34.94008000,3053504.60602600,0
2025-12-01 01:36:00,87471.40000000,87603.00000000,87449.98000000,87449.98000000,30.70215000,1764553139999,2687332.11391880,15598,16.17961000,1416211.55391540,0
2025-12-01 01:39:00,87449.98000000,87513.63000000,87322.00000000,87513.63000000,57.76743000,1764553319999,5050688.25753280,13334,34.31054000,2999191.08749960,0
2025-12-01 01:42:00,87513.62000000,87550.00000000,87420.58000000,87431.94000000,43.80544000,1764553499999,3832796.33204880,11633,17.16397000,1501657.94531070,0
2025-12-01 01:45:00,87431.94000000,87472.68000000,87330.00000000,87449.99000000,35.09371000,1764553679999,3067106.58387260,13874,16.48017000,1440373.44032810,0
2025-12-01 01:48:00,87450.00000000,87461.37000000,87305.60000000,87337.14000000,39.84776000,1764553859999,3482115.87032420,12114,13.64755000,1192606.53104590,0
2025-12-01 01:51:00,87337.15000000,87353.94000000,87239.16000000,87245.81000000,40.14448000,1764554039999,3504202.57331460,10483,14.80246000,1291941.23249610,0
2025-12-01 01:54:00,87245.81000000,87340.12000000,87188.80000000,87312.80000000,64.16817000,1764554219999,5599205.93418040,13997,33.36345000,2911482.35373080,0
2025-12-01 01:57:00,87312.79000000,87362.26000000,87152.23000000,87168.91000000,33.37082000,1764554399999,2911884.61322500,13982,15.08535000,1316700.71001060,0
2025-12-01 02:00:00,87168.90000000,87190.22000000,87069.33000000,87157.79000000,183.36318000,1764554579999,15972880.00103830,16182,56.85737000,4952913.52241520,0
2025-12-01 02:03:00,87157.78000000,87422.99000000,87147.29000000,87377.02000000,110.66680000,1764554759999,9661105.55742890,22296,60.41299000,5273941.32384530,0
2025-12-01 02:06:00,87377.01000000,87397.66000000,87200.00000000,87263.98000000,68.65158000,1764554939999,5991950.75919000,14297,39.51332000,3448682.97918880,0
2025-12-01 02:09:00,87263.98000000,87337.99000000,87201.23000000,87337.98000000,44.69150000,1764555119999,3900630.32931490,11475,27.02355000,2358335.63840140,0
2025-12-01 02:12:00,87337.98000000,87500.00000000,87337.98000000,87400.01000000,95.29386000,1764555299999,8333668.06121170,9474,70.32713000,6149981.70193920,0
