timestamp,window_start,elapsed_sec,btc_price,btc_open,drift_pct,up_price,down_price,leader_side,leader_price,bb_position,bb_multiplier,bb_sma,bb_upper,bb_lower,bb_width,action,reason,cost,balance,consecutive_losses,hour_utc
09:31:48,07:30,108,66929.61,66919.99,0.000144,0.520,0.470,UP,0.520,0.500,1.000,0.000,0.000,0.000,0.000,MONITOR,,0.00,25.00,0,7
09:31:54,07:30,114,66951.18,66919.99,0.000466,0.550,0.440,UP,0.550,0.500,1.000,0.000,0.000,0.000,0.000,MONITOR,,0.00,25.00,0,7
09:31:59,07:30,119,66952.93,66919.99,0.000492,0.570,0.420,UP,0.570,0.500,1.000,0.000,0.000,0.000,0.000,MONITOR,,0.00,25.00,0,7
09:32:05,07:30,125,66927.24,66919.99,0.000108,0.590,0.400,UP,0.590,0.500,1.000,0.000,0.000,0.000,0.000,MONITOR,,0.00,25.00,0,7
09:32:11,07:30,131,66941.93,66919.99,0.000328,0.510,0.470,UP,0.510,0.500,1.000,0.000,0.000,0.000,0.000,MONITOR,,0.00,25.00,0,7
09:32:16,07:30,136,66912.19,66919.99,0.000117,0.480,0.510,DOWN,0.510,0.500,1.000,0.000,0.000,0.000,0.000,MONITOR,,0.00,25.00,0,7
09:32:22,07:30,142,66919.71,66919.99,0.000004,0.490,0.500,DOWN,0.500,0.500,1.000,0.000,0.000,0.000,0.000,MONITOR,,0.00,25.00,0,7
09:32:27,07:30,147,66903.28,66919.99,0.000250,0.460,0.530,DOWN,0.530,0.500,1.000,0.000,0.000,0.000,0.000,MONITOR,,0.00,25.00,0,7
09:32:33,07:30,153,66898.81,66919.99,0.000316,0.440,0.540,DOWN,0.540,0.500,1.000,0.000,0.000,0.000,0.000,MONITOR,,0.00,25.00,0,7
09:32:38,07:30,158,66902.07,66919.99,0.000268,0.450,0.540,DOWN,0.540,0.500,1.000,0.000,0.000,0.000,0.000,MONITOR,,0.00,25.00,0,7
09:32:44,07:30,164,66898.84,66919.99,0.000316,0.450,0.540,DOWN,0.540,0.500,1.000,0.000,0.000,0.000,0.000,MONITOR,,0.00,25.00,0,7
09:32:49,07:30,169,66881.14,66919.99,0.000581,0.410,0.580,DOWN,0.580,0.500,1.000,0.000,0.000,0.000,0.000,MONITOR,,0.00,25.00,0,7
09:32:55,07:30,175,66881.25,66919.99,0.000579,0.410,0.570,DOWN,0.570,0.500,1.000,0.000,0.000,0.000,0.000,MONITOR,,0.00,25.00,0,7
09:33:00,07:30,180,66881.99,66919.99,0.000568,0.420,0.570,DOWN,0.570,0.500,1.000,0.000,0.000,0.000,0.000,MONITOR,,0.00,25.00,0,7
09:33:06,07:30,186,66884.08,66919.99,0.000537,0.410,0.580,DOWN,0.580,0.500,1.000,0.000,0.000,0.000,0.000,MONITOR,,0.00,25.00,0,7
09:33:12,07:30,192,66926.00,66919.99,0.000090,0.460,0.520,UP,0.460,0.500,1.000,0.000,0.000,0.000,0.000,MONITOR,,0.00,25.00,0,7
09:33:17,07:30,197,66957.99,66919.99,0.000568,0.510,0.450,UP,0.510,0.500,1.000,0.000,0.000,0.000,0.000,MONITOR,,0.00,25.00,0,7
09:33:23,07:30,203,66956.59,66919.99,0.000547,0.560,0.430,UP,0.560,0.500,1.000,0.000,0.000,0.000,0.000,MONITOR,,0.00,25.00,0,7
09:33:28,07:30,208,66948.04,66919.99,0.000419,0.580,0.410,UP,0.580,0.500,1.000,0.000,0.000,0.000,0.000,MONITOR,,0.00,25.00,0,7
09:33:34,07:30,214,66942.51,66919.99,0.000337,0.540,0.440,UP,0.540,0.500,1.000,0.000,0.000,0.000,0.000,MONITOR,,0.00,25.00,0,7
09:33:39,07:30,219,66937.61,66919.99,0.000263,0.540,0.450,UP,0.540,0.500,1.000,0.000,0.000,0.000,0.000,MONITOR,,0.00,25.00,0,7
09:33:45,07:30,225,66942.51,66919.99,0.000337,0.550,0.440,UP,0.550,0.500,1.000,0.000,0.000,0.000,0.000,MONITOR,,0.00,25.00,0,7
09:33:50,07:30,230,66917.39,66919.99,0.000039,0.490,0.500,DOWN,0.500,0.500,1.000,0.000,0.000,0.000,0.000,MONITOR,,0.00,25.00,0,7
