timestamp,elapsed,side,price,action,cost,context_4h,context_atr,context_wall,context_news
10:07:13,433,UP,0.660,MONITOR,0.00,DOWN,1.04,1.27,True
10:07:18,438,UP,0.520,MONITOR,0.00,DOWN,1.04,1.27,True
10:07:24,444,UP,0.550,MONITOR,0.00,DOWN,1.04,1.27,True
10:07:29,449,UP,0.550,MONITOR,0.00,DOWN,1.04,1.27,True
10:07:35,455,UP,0.510,MONITOR,0.00,DOWN,1.04,1.27,True
10:07:40,460,DOWN,0.510,MONITOR,0.00,DOWN,1.04,1.27,True
10:07:46,466,DOWN,0.560,MONITOR,0.00,DOWN,1.04,1.27,True
10:07:51,471,DOWN,0.570,MONITOR,0.00,DOWN,1.04,1.27,True
10:07:57,477,DOWN,0.680,MONITOR,0.00,DOWN,1.04,1.27,True
10:08:02,482,DOWN,0.730,MONITOR,0.00,DOWN,1.04,1.27,True
10:08:08,488,DOWN,0.770,MONITOR,0.00,DOWN,1.04,1.27,True
10:08:13,493,DOWN,0.800,MONITOR,0.00,DOWN,1.04,1.27,True
10:08:19,499,DOWN,0.840,MONITOR,0.00,DOWN,1.04,1.27,True
10:08:24,504,DOWN,0.810,MONITOR,0.00,DOWN,1.04,1.27,True
10:08:30,510,DOWN,0.790,MONITOR,0.00,DOWN,1.04,1.27,True
10:08:35,515,DOWN,0.820,MONITOR,0.00,DOWN,1.04,1.27,True
10:08:41,521,DOWN,0.850,MONITOR,0.00,DOWN,1.04,1.27,True
10:08:46,526,DOWN,0.850,MONITOR,0.00,DOWN,1.04,1.27,True
10:08:52,532,DOWN,0.820,MONITOR,0.00,DOWN,1.04,1.27,True
10:08:57,537,DOWN,0.820,MONITOR,0.00,DOWN,1.04,1.27,True
10:09:03,543,DOWN,0.760,MONITOR,0.00,DOWN,1.04,1.27,True
10:09:08,548,DOWN,0.680,MONITOR,0.00,DOWN,1.04,1.27,True
10:09:14,554,DOWN,0.600,MONITOR,0.00,DOWN,1.04,1.27,True
10:09:20,560,DOWN,0.620,MONITOR,0.00,DOWN,1.04,1.27,True
10:09:25,565,DOWN,0.630,MONITOR,0.00,DOWN,1.04,1.27,True
10:09:31,571,DOWN,0.550,MONITOR,0.00,DOWN,1.04,1.27,True
10:09:36,576,DOWN,0.640,MONITOR,0.00,DOWN,1.04,1.27,True
