Timestamp,TimeRemaining,BTC_Price,BTC_Open,Diff,Range,Odds,Trend_4h,Trend_1h,RSI_1m,ATR_5m,V-UP,V-DN,Sling,Cobra,Coiled,Flag,M_Score,M_Status,Scanners,Up_Ask,Dn_Ask,Shares_UP,Shares_DN,Sim_Bal,Risk_Bal
2026-04-01 21:14:05,00:00,0.00,0.00,0.00,0.00,0,NEUTRAL,NEUTRAL,50.0,0.00,0,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.500,0.500,0.00,0.00,100.00,100.00
2026-04-01 21:14:20,40s,68122.30,68028.30,94.00,94.00,98.0,NEUTRAL,M-DOWN,46.4,50.44,130,0,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.985,0.010,0.00,0.00,100.00,100.00
2026-04-01 21:14:21,00:00,68122.30,68028.30,94.00,94.00,98.0,NEUTRAL,M-DOWN,46.4,50.44,130,0,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.985,0.010,0.00,0.00,100.00,100.00
2026-04-01 21:14:27,33s,68122.30,68028.30,94.00,94.00,99.0,NEUTRAL,M-DOWN,46.4,50.44,109,0,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.995,0.005,0.00,0.00,100.00,100.00
2026-04-01 21:14:35,25s,68123.86,68028.30,95.56,95.56,99.0,NEUTRAL,M-DOWN,44.6,50.44,98,0,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.995,0.005,0.00,0.00,100.00,100.00
2026-04-01 21:14:37,00:00,68123.86,68028.30,95.56,95.56,99.0,NEUTRAL,M-DOWN,44.6,50.44,98,0,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.995,0.005,0.00,0.00,100.00,100.00
2026-04-01 21:14:49,11s,68108.90,68028.30,80.60,95.56,99.0,NEUTRAL,M-DOWN,42.1,55.42,66,0,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.995,0.005,0.00,0.00,100.00,100.00
2026-04-01 21:14:52,00:00,68108.90,68028.30,80.60,95.56,99.0,NEUTRAL,M-DOWN,42.1,55.42,66,0,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.995,0.005,0.00,0.00,100.00,100.00
2026-04-01 21:14:58,2s,68100.00,68028.30,71.70,95.56,99.0,NEUTRAL,M-DOWN,40.2,59.96,67,0,OFF,OFF,OFF,WAIT_DATA,1,BUY_UP,1,0.995,0.005,0.00,0.00,100.00,100.00
2026-04-01 21:15:07,293s,68082.30,68082.30,0.00,0.00,11.0,NEUTRAL,M-DOWN,39.6,61.49,1,0,OFF,OFF,OFF,WAIT_DATA,1,BUY_UP,1,0.555,0.445,0.00,0.00,100.00,100.00
